sample_id,corruption_mode,effective,true_dominant_mode,predicted_dominant_mode,true_bond,predicted_bond,true_angle,predicted_angle,true_torsion,predicted_torsion,true_ring,predicted_ring,true_clash,predicted_clash,true_chirality,predicted_chirality
val::Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2__gen0001,torsion,True,torsion,chirality,1.3245476715439963e-08,0.010278313420712948,3.1177815884575466e-08,0.014274063520133495,0.5235987305641174,0.07832620292901993,5.9604645663569045e-09,0.011598045006394386,0.0,0.0001735363621264696,0.0,0.15345503389835358
val::Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2__gen0001,bond_angle,True,torsion,chirality,2.9802322387695312e-08,0.010412219911813736,0.0048463731072843075,0.014709404669702053,0.0588078536093235,0.07516995072364807,2.9802322387695312e-08,0.011579606682062149,0.0,0.0001807631051633507,0.0,0.1534723937511444
val::Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2__gen0001,bond_length,True,bond,chirality,0.0022222432307899,0.01034947857260704,1.833989138333436e-08,0.014692994765937328,2.384185791015625e-07,0.0746699869632721,2.9802322387695312e-08,0.011551187373697758,0.0,0.00018054193060379475,0.0,0.1537945568561554
val::Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2__gen0001,clash,True,bond,bond,0.09628193080425262,0.23865877091884613,0.028979681432247162,0.08410488814115524,0.0,0.13994883000850677,0.0,0.03969049081206322,0.0013211342738941312,0.0011556376703083515,0.0,0.04361003637313843
val::Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2__gen0001,ring,True,torsion,chirality,0.049964699894189835,0.012292062863707542,0.06398559361696243,0.016204124316573143,0.1353244185447693,0.07768270373344421,0.0580001063644886,0.012377356179058552,0.0,0.00020090134057682008,0.0,0.14592024683952332
val::Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2__gen0001,zero,False,clean,chirality,0.0,0.010373405180871487,0.0,0.014710971154272556,0.0,0.07467934489250183,0.0,0.011557514779269695,0.0,0.00018142416956834495,0.0,0.1536726951599121
val::Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2__gen0000,torsion,True,torsion,chirality,2.6490953430879927e-08,0.010278313420712948,1.833989138333436e-08,0.014274063520133495,0.5235986709594727,0.07832620292901993,3.5762788286319847e-08,0.011598045006394386,0.0,0.0001735363621264696,0.0,0.15345503389835358
val::Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2__gen0000,bond_angle,True,torsion,chirality,3.311369312086754e-08,0.010411640629172325,0.005336585454642773,0.014761947095394135,0.020786821842193604,0.07459951192140579,4.17232506322307e-08,0.011568407528102398,0.0,0.00018191027629654855,0.0,0.15356267988681793
val::Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2__gen0000,bond_length,True,bond,chirality,0.0022222399711608887,0.01034947857260704,1.4671912573760437e-08,0.014693002216517925,1.1920928955078125e-07,0.0746699869632721,1.7881394143159923e-08,0.011551187373697758,0.0,0.00018054193060379475,0.0,0.1537945568561554
val::Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2__gen0000,clash,True,bond,bond,0.3082845211029053,0.5815123319625854,0.1828395426273346,0.14837045967578888,0.0,0.1761230081319809,0.1956254094839096,0.06527512520551682,0.0013211383484303951,0.002416989067569375,0.0,0.03603046387434006
